Date,Stock_Symbol,Open,High,Low,Close,Volume
2020-03-05,AAPL,326.2,328.31,318.58,318.73,6910527
2020-03-06,AAPL,324.02,325.29,316.5,325.0,8933924
2020-03-09,AAPL,326.08,332.91,322.88,325.82,2687165
2020-03-10,AAPL,331.54,335.42,325.69,335.0,3312374
2020-03-11,AAPL,329.58,337.84,326.13,331.4,9311260
2020-03-12,AAPL,328.48,330.84,327.2,330.6,3240445
2020-03-13,AAPL,327.28,327.53,322.19,326.51,9079888
2020-03-16,AAPL,322.35,328.34,317.47,325.92,1983573
2020-03-17,AAPL,321.48,326.54,314.75,321.51,7418000
2020-03-18,AAPL,322.49,323.66,321.37,321.8,1353781
2020-03-19,AAPL,323.59,329.18,315.0,323.57,6736387
2020-03-20,AAPL,325.66,327.37,319.64,320.79,1198505
2020-03-23,AAPL,321.94,324.15,319.41,320.2,2360787
2020-03-24,AAPL,322.39,324.84,319.4,323.0,3251451
2020-03-25,AAPL,323.52,330.15,317.84,323.74,7090419
2020-03-26,AAPL,322.78,324.48,321.52,322.63,3211238
2020-03-27,AAPL,325.67,330.2,319.65,323.3,3790581
2020-03-30,AAPL,325.28,330.76,324.46,326.25,9657605
2020-03-31,AAPL,322.8,326.86,316.93,323.8,1567279
2020-04-01,AAPL,326.34,328.54,325.48,327.67,1587941
2020-04-02,AAPL,324.3,329.18,320.73,327.14,9093504
2020-04-03,AAPL,323.96,327.96,314.76,316.6,4883766
2020-04-06,AAPL,313.83,314.18,307.21,310.41,3662707
2020-04-07,AAPL,305.44,306.0,299.16,300.13,8141810
2020-04-08,AAPL,298.6,301.17,297.57,298.65,4898750
2020-04-09,AAPL,293.2,293.7,292.37,292.46,9100480
2020-04-10,AAPL,296.65,303.62,293.61,300.88,7087295
2020-04-13,AAPL,301.41,310.16,300.83,304.4,9412210
2020-04-14,AAPL,298.77,303.35,296.06,300.6,8545054
2020-04-15,AAPL,295.4,302.2,294.08,299.52,7850975
2020-04-16,AAPL,302.68,303.11,296.56,300.33,1066183
2020-04-17,AAPL,299.41,306.21,293.87,299.66,8339810
2020-04-20,AAPL,302.72,311.15,296.28,301.15,6574039
2020-04-21,AAPL,301.33,309.61,297.87,308.7,6791537
2020-04-22,AAPL,304.61,311.28,304.19,306.58,6468212
2020-04-23,AAPL,308.35,312.77,302.04,306.52,4141737
2020-04-24,AAPL,307.95,308.33,306.41,306.73,1662418
2020-04-27,AAPL,305.65,309.62,297.82,304.29,8405234
2020-04-28,AAPL,301.47,307.55,297.22,307.15,3682656
2020-04-29,AAPL,306.8,315.24,302.29,312.04,5747958
2020-04-30,AAPL,316.09,320.86,307.45,314.55,3495970
2020-05-01,AAPL,319.86,328.31,317.37,320.29,1653937
2020-05-04,AAPL,321.02,323.89,313.45,321.53,9187129
2020-05-05,AAPL,321.78,322.62,320.36,320.94,5519197
2020-05-06,AAPL,317.31,321.06,314.45,316.62,2037894
2020-05-07,AAPL,321.1,323.7,317.72,322.51,6676849
2020-05-08,AAPL,328.9,336.12,320.44,321.75,5383010
2020-05-11,AAPL,315.73,322.42,307.67,314.93,5942122
2020-05-12,AAPL,315.88,322.93,311.99,315.05,7053096
2020-05-13,AAPL,317.61,325.11,308.64,310.99,6866341
2020-05-14,AAPL,314.56,319.4,312.14,312.28,3627962
2020-05-15,AAPL,311.67,318.67,302.37,315.47,1361968
2020-05-18,AAPL,315.22,322.89,310.38,318.37,6956279
2020-05-19,AAPL,313.53,319.01,312.68,316.53,4219560
2020-05-20,AAPL,317.82,326.95,309.04,315.3,7578989
2020-05-21,AAPL,321.02,325.19,315.22,322.59,8461635
2020-05-22,AAPL,326.37,331.68,324.23,328.77,6684470
2020-05-25,AAPL,328.72,333.28,323.35,329.49,4092670
2020-05-26,AAPL,333.98,335.15,326.31,327.24,8053713
2020-05-27,AAPL,322.56,325.4,318.54,323.18,2955957
2020-05-28,AAPL,324.47,325.27,318.31,324.93,5330525
2020-05-29,AAPL,322.81,329.54,321.0,325.19,2717585
2020-06-01,AAPL,330.82,337.54,321.57,325.02,9430917
2020-06-02,AAPL,323.62,326.5,321.23,323.73,6327870
2020-06-03,AAPL,319.74,321.59,313.58,316.02,6032675
2020-06-04,AAPL,321.7,322.29,313.98,320.36,6574413
2020-06-05,AAPL,317.86,326.56,311.64,311.67,3584370
2020-06-08,AAPL,310.39,311.16,303.23,305.16,2658177
2020-06-09,AAPL,306.66,313.67,303.33,304.68,8669203
2020-06-10,AAPL,300.7,301.15,298.29,300.84,6111917
2020-06-11,AAPL,302.46,303.92,301.2,301.38,2035478
2020-06-12,AAPL,305.15,309.67,305.05,306.01,6652310
2020-06-15,AAPL,307.03,310.93,300.11,306.59,3815371
2020-06-16,AAPL,301.12,307.36,295.06,295.95,6496901
2020-06-17,AAPL,300.32,305.8,297.68,300.06,7359887
2020-06-18,AAPL,296.98,303.09,292.45,297.59,6237903
2020-06-19,AAPL,299.23,307.82,297.71,307.2,8230530
2020-06-22,AAPL,311.2,313.35,308.92,310.37,9001676
2020-06-23,AAPL,305.13,309.01,304.63,305.62,1397423
2020-06-24,AAPL,299.64,302.59,298.94,302.3,5663994
2020-06-25,AAPL,299.58,302.59,297.56,302.44,2110688
2020-06-26,AAPL,304.09,309.27,298.85,307.73,2257856
2020-06-29,AAPL,311.28,320.14,302.99,308.37,1463014
2020-06-30,AAPL,310.84,312.34,309.68,310.58,3250943
2020-07-01,AAPL,310.54,313.32,301.53,310.8,1507654
2020-07-02,AAPL,304.97,312.78,302.84,311.6,7239790
2020-07-03,AAPL,308.78,314.02,302.66,302.86,8974395
2020-07-06,AAPL,304.25,312.9,299.39,309.55,9367969
2020-07-07,AAPL,308.83,314.28,301.94,313.29,7379518
2020-07-08,AAPL,311.4,316.36,306.08,311.06,7895130
2020-07-09,AAPL,313.64,321.12,310.43,316.62,4353483
2020-07-10,AAPL,314.77,317.03,313.52,313.75,2543583
2020-07-13,AAPL,317.01,322.54,310.39,317.43,7515237
2020-07-14,AAPL,317.93,320.5,315.03,318.61,7862614
2020-07-15,AAPL,321.68,331.01,315.17,323.48,9936342
2020-07-16,AAPL,322.17,328.86,317.1,325.18,9234639
2020-07-17,AAPL,319.56,325.38,312.04,320.34,8726193
2020-07-20,AAPL,315.81,320.51,314.26,318.18,6999975
2020-07-21,AAPL,314.8,321.55,309.29,319.71,7820457
2020-07-22,AAPL,317.28,320.83,308.08,309.77,6135436
2020-07-23,AAPL,312.47,318.76,307.3,317.7,8193605
2020-07-24,AAPL,320.03,325.32,313.45,323.21,6037468
2020-07-27,AAPL,326.47,329.9,326.45,327.75,5204607
2020-07-28,AAPL,323.58,332.64,318.12,323.22,8653420
2020-07-29,AAPL,329.6,335.29,321.49,330.61,3708681
2020-07-30,AAPL,336.05,344.28,327.59,330.13,6790545
2020-07-31,AAPL,330.48,334.62,326.96,334.02,3165976
2020-08-03,AAPL,336.05,338.91,334.54,337.01,8959780
2020-08-04,AAPL,342.76,350.48,332.68,348.39,1670155
2020-08-05,AAPL,343.95,348.71,337.85,338.2,4806657
2020-08-06,AAPL,337.08,344.53,333.29,336.29,4297871
2020-08-07,AAPL,339.18,348.28,329.1,342.9,1816292
2020-08-10,AAPL,345.7,355.12,340.12,350.84,4597899
2020-08-11,AAPL,356.09,357.21,346.05,356.68,5596261
2020-08-12,AAPL,355.93,361.6,354.42,355.84,9990796
2020-08-13,AAPL,359.98,362.53,350.73,353.79,7094410
2020-08-14,AAPL,357.58,359.34,351.02,353.18,5419830
2020-08-17,AAPL,351.07,351.41,341.11,348.43,6746816
2020-08-18,AAPL,354.0,360.52,353.79,356.86,9544502
2020-08-19,AAPL,363.82,368.64,359.95,362.23,6122919
2020-08-20,AAPL,363.13,366.04,356.28,359.81,4688369
2020-08-21,AAPL,361.97,371.97,355.14,361.36,9034029
2020-08-24,AAPL,364.17,371.18,358.56,369.6,6057539
2020-08-25,AAPL,373.34,381.82,364.2,366.54,4165119
2020-08-26,AAPL,364.81,367.33,361.91,363.61,8190295
2020-08-27,AAPL,365.05,368.76,361.15,367.66,1244178
2020-08-28,AAPL,368.23,378.12,359.27,373.63,7884918
2020-08-31,AAPL,376.82,381.12,374.1,378.5,6170052
2020-09-01,AAPL,381.69,387.36,371.58,379.98,8284206
2020-09-02,AAPL,375.04,383.06,374.94,378.7,1074234
2020-09-03,AAPL,380.13,387.23,377.6,381.25,7488730
2020-09-04,AAPL,377.52,385.8,366.85,383.54,8584646
2020-09-07,AAPL,383.51,393.81,380.65,386.84,3185802
2020-09-08,AAPL,393.29,394.18,384.71,391.85,9197957
2020-09-09,AAPL,387.07,394.15,384.68,390.78,5398007
2020-09-10,AAPL,384.37,386.68,374.5,380.13,2053776
2020-09-11,AAPL,372.72,381.34,369.01,370.64,9258351
2020-09-14,AAPL,363.34,367.82,355.72,364.27,5070631
2020-09-15,AAPL,359.34,360.98,357.64,359.73,1861542
2020-09-16,AAPL,353.34,355.38,350.75,353.72,6284768
2020-09-17,AAPL,349.02,351.21,346.93,349.01,8780632
2020-09-18,AAPL,351.11,351.15,343.3,350.51,7493594
2020-09-21,AAPL,349.57,353.68,347.34,347.43,5576955
2020-09-22,AAPL,348.6,356.03,347.25,348.28,5208982
2020-09-23,AAPL,351.89,359.22,345.53,358.61,7153606
2020-09-24,AAPL,360.26,366.2,356.62,364.66,6268597
2020-09-25,AAPL,358.36,363.24,348.28,348.71,6043312
2020-09-28,AAPL,348.23,348.53,338.93,347.84,1070440
2020-09-29,AAPL,349.05,359.18,343.32,354.08,1089512
2020-09-30,AAPL,355.43,358.48,352.43,356.99,9358230
2020-10-01,AAPL,363.23,372.7,360.56,362.37,9105864
2020-10-02,AAPL,368.15,368.46,360.12,366.53,7547877
2020-10-05,AAPL,360.13,368.77,357.99,359.08,4623621
2020-10-06,AAPL,354.4,363.0,349.65,359.38,5431949
2020-10-07,AAPL,356.79,359.6,346.56,356.33,6845516
2020-10-08,AAPL,361.69,364.21,354.25,357.58,5986472
2020-10-09,AAPL,361.32,366.28,358.11,358.87,5464659
2020-10-12,AAPL,365.91,369.07,365.43,367.93,7817731
2020-10-13,AAPL,368.34,377.28,365.17,374.04,5878196
2020-10-14,AAPL,372.51,378.34,368.32,369.83,7478062
2020-10-15,AAPL,369.31,372.09,366.77,369.19,1562553
2020-10-16,AAPL,362.84,363.65,352.64,361.63,5396464
2020-10-19,AAPL,358.07,367.51,354.75,356.32,5440506
2020-10-20,AAPL,361.82,368.31,357.69,358.41,5958348
2020-10-21,AAPL,357.31,366.12,356.2,365.95,9964839
2020-10-22,AAPL,368.66,373.07,361.03,371.18,1867634
2020-10-23,AAPL,364.14,372.21,359.45,364.86,3116946
2020-10-26,AAPL,371.13,374.78,366.03,367.0,1415757
2020-10-27,AAPL,360.6,370.29,351.07,352.62,5532564
2020-10-28,AAPL,351.11,357.99,342.49,356.73,4660101
2020-10-29,AAPL,352.91,354.92,351.14,353.01,4209554
2020-10-30,AAPL,359.63,364.94,356.12,359.53,3546444
2020-11-02,AAPL,365.11,370.86,363.96,370.78,4446349
2020-11-03,AAPL,366.52,370.63,363.9,368.09,9494270
2020-11-04,AAPL,374.84,383.31,370.72,376.38,8740956
2020-11-05,AAPL,371.05,382.01,369.65,374.9,9653965
2020-11-06,AAPL,371.75,382.17,369.79,371.5,3792477
2020-11-09,AAPL,378.3,379.72,367.2,375.68,6825898
2020-11-10,AAPL,372.79,373.12,372.32,372.39,8679658
2020-11-11,AAPL,372.35,382.26,365.39,379.89,7858733
2020-11-12,AAPL,380.54,391.25,374.76,378.46,1469556
2020-11-13,AAPL,377.84,385.74,369.76,377.33,9663372
2020-11-16,AAPL,384.38,388.8,377.91,387.91,6774102
2020-11-17,AAPL,392.78,396.39,391.86,395.59,2782650
2020-11-18,AAPL,397.97,409.53,389.54,397.54,6833140
2020-11-19,AAPL,390.81,394.95,382.15,387.71,9991905
2020-11-20,AAPL,385.04,391.27,373.63,389.9,9384735
2020-11-23,AAPL,383.58,393.36,372.81,376.98,1650932
2020-11-24,AAPL,377.72,379.9,370.74,371.9,7128283
2020-11-25,AAPL,370.43,380.46,365.92,374.53,4365842
2020-11-26,AAPL,377.06,378.86,368.56,375.88,2374476
2020-11-27,AAPL,370.28,376.26,360.85,366.15,4410937
2020-11-30,AAPL,359.19,367.37,349.22,364.68,7517117
2020-12-01,AAPL,371.02,380.76,364.1,366.94,4410780
2020-12-02,AAPL,372.38,381.11,367.05,374.9,3887283
2020-12-03,AAPL,371.61,380.82,361.09,380.73,3506752
2020-12-04,AAPL,385.58,388.12,374.71,381.57,1368058
2020-12-07,AAPL,384.65,395.45,375.29,388.54,2323018
2020-12-08,AAPL,391.59,393.07,389.36,390.28,1452044
2020-12-09,AAPL,385.05,395.78,378.64,383.21,2806425
2020-12-10,AAPL,388.29,397.07,385.02,393.35,1652648
2020-12-11,AAPL,387.39,392.52,379.13,389.77,2763858
2020-12-14,AAPL,384.81,387.57,374.7,384.92,3336576
2020-12-15,AAPL,387.5,389.48,378.75,379.63,4198513
2020-12-16,AAPL,373.3,381.38,371.2,380.55,9625000
2020-12-17,AAPL,382.55,385.07,380.79,381.27,5968925
2020-12-18,AAPL,388.8,394.73,388.25,390.03,3028732
2020-12-21,AAPL,383.66,392.65,373.51,385.94,8022470
2020-12-22,AAPL,385.94,390.33,379.36,379.62,1334751
2020-12-23,AAPL,386.21,396.19,378.49,384.13,6238875
2020-12-24,AAPL,384.65,393.2,373.52,392.67,8097405
2020-12-25,AAPL,399.82,406.66,391.59,395.21,5036136
2020-12-28,AAPL,394.77,395.76,385.65,387.78,7135339
2020-12-29,AAPL,390.51,391.74,388.95,391.23,7091485
2020-12-30,AAPL,392.05,401.14,388.04,392.45,6501420
2020-12-31,AAPL,399.32,404.2,390.2,399.67,6124643
2021-01-01,AAPL,407.61,415.37,403.53,403.57,9393650
2021-01-04,AAPL,398.41,399.42,397.77,398.65,9333280
2021-01-05,AAPL,404.01,404.23,393.02,393.3,5451037
2021-01-06,AAPL,393.84,405.61,385.5,396.03,6932127
2021-01-07,AAPL,398.21,405.96,392.12,402.41,5609053
2021-01-08,AAPL,394.9,401.44,384.85,391.2,7584015
2021-01-11,AAPL,397.43,398.46,386.35,396.47,4637856
2021-01-12,AAPL,399.07,399.81,393.97,394.81,1066674
2021-01-13,AAPL,401.93,409.09,397.3,402.73,1183205
2021-01-14,AAPL,404.41,406.44,397.99,403.86,5366748
2021-01-15,AAPL,409.57,419.75,403.25,408.9,6909450
2021-01-18,AAPL,408.66,409.96,405.05,406.75,3546759
2021-01-19,AAPL,412.42,417.03,402.11,412.36,2778731
2021-01-20,AAPL,405.95,411.2,397.1,406.64,8421804
2021-01-21,AAPL,400.18,405.3,392.15,394.78,3273217
2021-01-22,AAPL,397.41,407.02,397.07,406.93,7266746
2021-01-25,AAPL,400.45,409.83,395.86,398.24,6782869
2021-01-26,AAPL,396.15,404.1,384.85,399.09,1546149
2021-01-27,AAPL,392.69,395.38,391.36,394.42,2129457
2021-01-28,AAPL,389.68,392.05,384.08,384.78,2350815
2021-01-29,AAPL,381.12,388.18,375.85,386.9,2267362
2021-02-01,AAPL,382.23,390.25,375.79,377.91,7749522
2021-02-02,AAPL,383.16,389.27,378.17,385.54,4311905
2021-02-03,AAPL,383.83,390.21,380.61,388.21,4805615
2021-02-04,AAPL,383.04,389.67,380.29,385.44,5446689
2021-02-05,AAPL,391.81,400.29,389.45,390.96,8150445
2021-02-08,AAPL,388.26,393.97,388.07,388.69,4746433
2021-02-09,AAPL,385.22,392.71,381.36,381.41,2676947
2021-02-10,AAPL,380.05,381.18,371.88,375.24,6232263
2021-02-11,AAPL,381.94,383.18,374.28,379.05,6644931
2021-02-12,AAPL,383.69,387.75,381.84,383.27,8177667
2021-02-15,AAPL,390.22,399.72,385.05,394.67,1162538
2021-02-16,AAPL,396.57,398.02,396.45,396.86,8600052
2021-02-17,AAPL,398.65,403.27,387.11,389.68,5697683
2021-02-18,AAPL,384.95,395.43,383.66,394.38,3756643
2021-02-19,AAPL,387.46,398.86,380.87,383.49,8873550
2021-02-22,AAPL,383.96,390.34,375.28,381.37,2776276
2021-02-23,AAPL,374.44,376.11,364.2,366.82,2992649
2021-02-24,AAPL,359.61,365.67,352.55,359.1,7198016
2021-02-25,AAPL,359.28,369.45,351.73,356.93,9075547
2021-02-26,AAPL,363.65,371.41,363.0,368.66,6127262
2021-03-01,AAPL,369.03,373.08,366.88,367.59,1828527
2021-03-02,AAPL,374.59,378.03,370.52,372.74,9093545
2021-03-03,AAPL,378.77,382.71,368.24,372.58,8511543
2021-03-04,AAPL,365.21,372.1,355.38,367.88,6514165
2021-03-05,AAPL,362.45,371.93,352.26,358.16,3119206
2021-03-08,AAPL,362.04,371.86,358.06,362.56,3244847
2021-03-09,AAPL,359.24,367.37,350.77,360.03,2846355
2021-03-10,AAPL,357.57,365.44,348.37,348.5,8609383
2021-03-11,AAPL,342.59,346.59,341.22,343.47,1415010
2021-03-12,AAPL,345.79,346.96,336.25,341.48,6272541
2021-03-15,AAPL,342.22,349.97,333.95,338.85,8711701
2021-03-16,AAPL,340.88,342.08,334.56,335.23,1767999
2021-03-17,AAPL,338.41,343.82,337.24,338.13,1988913
2021-03-18,AAPL,339.79,344.28,331.28,337.57,8615999
2021-03-19,AAPL,338.16,345.55,335.52,338.95,9715795
2021-03-22,AAPL,342.88,348.22,337.04,346.07,2581285
2021-03-23,AAPL,347.66,353.4,342.69,351.85,5185164
2021-03-24,AAPL,350.92,355.46,346.11,349.36,3050430
2021-03-25,AAPL,351.49,355.54,342.2,350.05,5006371
2021-03-26,AAPL,353.11,359.83,345.96,351.72,2238708
2021-03-29,AAPL,350.75,352.16,347.67,348.13,5106729
2021-03-30,AAPL,344.9,351.81,338.28,342.51,4803607
2021-03-31,AAPL,344.88,354.76,337.31,347.6,9272488
2021-04-01,AAPL,353.1,363.44,343.53,343.57,7948838
2021-04-02,AAPL,338.68,340.93,333.86,337.77,8189607
2021-04-05,AAPL,343.02,349.02,335.86,346.61,6142533
2021-04-06,AAPL,343.27,346.85,338.98,339.18,3348902
2021-04-07,AAPL,333.11,333.14,324.82,326.48,8157202
2021-04-08,AAPL,328.25,328.96,322.94,323.19,8227512
2021-04-09,AAPL,316.94,317.57,308.96,309.07,3650409
2021-04-12,AAPL,305.55,311.97,300.05,308.77,4303212
2021-04-13,AAPL,311.92,316.5,310.5,312.71,5496607
2021-04-14,AAPL,318.18,320.5,315.26,317.66,6419552
2021-04-15,AAPL,318.77,324.14,312.5,315.36,7570062
2021-04-16,AAPL,318.89,328.14,312.56,314.84,3517130
2021-04-19,AAPL,320.42,322.96,314.62,317.09,9888692
2021-04-20,AAPL,322.06,324.83,315.23,321.05,8448815
2021-04-21,AAPL,325.11,331.75,319.36,320.71,6670888
2021-04-22,AAPL,322.3,329.9,316.08,318.72,6170643
2021-04-23,AAPL,313.39,319.29,311.14,313.13,6623218
2021-04-26,AAPL,308.05,315.86,301.79,312.65,9989131
2021-04-27,AAPL,309.76,311.14,301.82,310.17,2241618
2021-04-28,AAPL,310.57,318.78,308.83,310.14,4326454
2021-04-29,AAPL,307.02,313.92,306.83,306.9,6058587
2021-04-30,AAPL,304.8,305.59,301.67,303.79,2114183
2021-05-03,AAPL,298.59,300.81,294.13,298.93,8804946
2021-05-04,AAPL,298.99,304.54,296.76,301.62,6769371
2021-05-05,AAPL,307.5,311.53,305.93,308.6,8103635
2021-05-06,AAPL,313.79,320.12,306.44,306.54,6606050
2021-05-07,AAPL,306.59,308.99,303.7,308.41,9311798
2021-05-10,AAPL,307.6,314.01,298.43,307.49,4281901
2021-05-11,AAPL,302.85,305.73,297.64,301.17,7348245
2021-05-12,AAPL,298.83,299.99,296.6,297.35,7991471
2021-05-13,AAPL,294.37,296.77,289.89,290.51,6727725
2021-05-14,AAPL,290.74,296.44,282.94,288.07,2090543
2021-05-17,AAPL,292.22,299.21,289.48,298.42,2788522
2021-05-18,AAPL,295.3,303.61,288.04,297.93,9419773
2021-05-19,AAPL,297.92,298.1,291.29,296.47,9009794
2021-05-20,AAPL,296.93,298.43,294.42,295.57,3576923
2021-05-21,AAPL,294.56,297.51,293.33,296.73,2341921
2021-05-24,AAPL,301.47,304.2,300.84,302.13,7785765
2021-05-25,AAPL,304.13,309.77,301.14,304.71,7625206
2021-05-26,AAPL,306.61,312.54,302.0,306.6,7894013
2021-05-27,AAPL,302.85,305.87,297.87,298.74,4582371
2021-05-28,AAPL,301.71,308.95,298.8,305.43,4340161
2021-05-31,AAPL,301.73,310.14,296.96,309.88,5104699
2021-06-01,AAPL,310.39,310.89,306.88,307.17,5421981
2021-06-02,AAPL,302.13,305.29,297.48,298.75,8559673
2021-06-03,AAPL,297.97,301.32,291.0,292.94,9468552
2021-06-04,AAPL,295.13,299.34,289.29,291.26,9052422
2021-06-07,AAPL,294.56,302.15,286.31,287.07,1711659
2021-06-08,AAPL,290.98,295.24,288.37,294.84,8264198
2021-06-09,AAPL,297.89,300.01,296.02,299.45,8371462
2021-06-10,AAPL,302.73,303.65,301.6,302.46,8033015
2021-06-11,AAPL,297.3,297.61,294.32,296.42,4142337
2021-06-14,AAPL,291.42,298.5,285.0,292.54,8703847
2021-06-15,AAPL,296.31,303.01,291.73,295.47,1808159
2021-06-16,AAPL,300.06,306.06,293.02,304.08,4508730
2021-06-17,AAPL,305.9,308.76,298.74,304.61,7434639
2021-06-18,AAPL,308.34,312.71,303.4,306.97,2610343
2021-06-21,AAPL,306.95,314.21,302.19,304.6,8542922
2021-06-22,AAPL,307.23,313.78,302.47,311.69,2921698
2021-06-23,AAPL,317.01,319.14,315.97,318.06,8785151
2021-06-24,AAPL,323.0,329.81,314.38,323.72,6109078
2021-06-25,AAPL,317.71,324.29,312.44,321.1,5596929
2021-06-28,AAPL,327.13,330.17,326.86,327.54,7284171
2021-06-29,AAPL,321.58,324.95,315.59,317.04,5439777
2021-06-30,AAPL,310.88,312.99,305.51,312.58,2923529
2021-07-01,AAPL,313.76,315.28,311.95,314.38,3647988
2021-07-02,AAPL,316.15,320.29,310.76,310.96,3840008
2021-07-05,AAPL,311.03,313.63,310.96,312.68,8623107
2021-07-06,AAPL,310.12,315.14,305.95,315.1,1156918
2021-07-07,AAPL,314.69,315.11,309.64,310.37,3243539
2021-07-08,AAPL,316.03,320.18,309.7,314.14,7129022
2021-07-09,AAPL,308.02,311.54,301.47,309.79,6037818
2021-07-12,AAPL,309.61,318.21,303.83,305.21,9301380
2021-07-13,AAPL,310.76,310.96,303.19,309.53,2658609
2021-07-14,AAPL,309.05,313.73,302.38,306.07,9147967
2021-07-15,AAPL,308.22,310.38,299.02,299.83,8034998
2021-07-16,AAPL,296.27,301.78,289.4,291.83,5625601
2021-07-19,AAPL,289.53,294.79,282.28,289.35,5270628
2021-07-20,AAPL,292.27,292.7,283.79,288.05,2585657
2021-07-21,AAPL,285.09,289.53,281.91,283.89,2966322
2021-07-22,AAPL,287.01,293.84,285.74,292.58,2513641
2021-07-23,AAPL,292.23,300.66,287.94,289.59,8108963
2021-07-26,AAPL,288.29,291.72,282.66,283.56,6563863
2021-07-27,AAPL,278.74,282.32,277.38,279.3,2300710
2021-07-28,AAPL,275.02,277.95,271.05,271.98,9608754
2021-07-29,AAPL,272.71,273.31,267.19,268.7,6361531
2021-07-30,AAPL,270.04,270.61,264.95,265.5,9631982
2021-08-02,AAPL,264.74,267.98,264.31,265.23,8370698
2021-08-03,AAPL,266.62,268.03,265.08,267.03,6444205
2021-08-04,AAPL,265.9,271.42,265.24,269.27,9724803
2021-08-05,AAPL,274.48,276.75,274.38,276.47,6107094
2021-08-06,AAPL,279.44,280.91,275.15,275.28,3260947
2021-08-09,AAPL,278.26,279.01,270.88,275.48,2514521
2021-08-10,AAPL,273.89,278.71,266.62,275.14,2567808
2021-08-11,AAPL,279.13,284.47,273.99,281.62,5593319
2021-08-12,AAPL,276.57,279.92,273.71,273.96,7125079
2021-08-13,AAPL,270.97,277.04,269.23,274.81,6912234
2021-08-16,AAPL,274.26,278.11,273.38,277.89,3759515
2021-08-17,AAPL,279.98,287.71,275.64,283.61,3685554
2021-08-18,AAPL,287.01,289.35,279.75,283.18,7365776
2021-08-19,AAPL,286.99,295.57,281.43,282.16,4187185
2021-08-20,AAPL,285.35,292.73,284.98,287.46,8568639
2021-08-23,AAPL,285.25,290.13,283.39,286.94,6182630
2021-08-24,AAPL,286.58,287.24,285.2,286.73,5784853
2021-08-25,AAPL,282.91,284.41,278.2,281.14,1197541
2021-08-26,AAPL,277.28,277.41,277.19,277.32,5766678
2021-08-27,AAPL,275.44,276.39,272.3,272.36,3941162
2021-08-30,AAPL,268.4,269.76,265.48,266.5,9994658
2021-08-31,AAPL,263.29,264.57,263.0,263.54,4433016
